"MUNICIPALITY","DISTRICT","LONGITUDE","LATITUDE","ROOMS","FLOOR_AREA","BALCONY","ELEVATOR","IS_YOUTH","IS_SENIOR","RENT","PUBLISHED","LEASE_TYPE"
"Stockholm","Johanneshov",18.087474235,59.294580747,"1","26",false,false,true,false,"5876","2024-12-18","Ungdomslägenhet"
"Stockholm","Hässelby Strand",17.831171726,59.358602215,"3","65",true,true,true,false,"5596","2024-12-18","Ungdomslägenhet"
"Upplands Väsby","Smedby",17.919167649,59.509082524,"5","99",true,true,false,false,"8006","2024-12-18","Hyresrätt"
"Stockholm","Stureby",18.045439444,59.283250417,"4","97",true,true,false,false,"10413","2024-12-18","Hyresrätt"
"Upplands Väsby","Smedby",17.916306,59.50966,"2","61",false,true,false,false,"11956","2024-12-18","Hyresrätt"
"Upplands Väsby","Smedby",17.916306,59.50966,"1","29",true,true,false,false,"9286","2024-12-18","Hyresrätt"
"Upplands Väsby","Smedby",17.917884596,59.513143914,"1","21",false,true,false,false,"9286","2024-12-18","Hyresrätt"
"Stockholm","Hässelby Gård",17.850589536,59.365060568,"2","55",true,false,false,false,"10616","2024-12-18","Hyresrätt"
"Stockholm","Beckomberga",17.897553539,59.362151779,"1","43",true,false,false,false,"7917","2024-12-18","Hyresrätt"
"Stockholm","Tallkrogen",18.081537011,59.264556739,"1","56",false,true,false,false,"6900","2024-12-18","Studentlägenhet"
"Stockholm","Tallkrogen",18.082541227,59.264312447,"1","28",false,false,false,false,"7700","2024-12-18","Studentlägenhet"
"Stockholm","Södermalm",18.083791244,59.30776497,"3","82",true,true,false,false,"7430","2024-12-18","Korttidskontrakt"
"Stockholm","Råcksta",17.888284922,59.354743001,"2","99",true,true,true,false,"6362","2024-12-18","UngdomKorttid"
"Stockholm","Norra Ängby",17.887587547,59.350805298,"1","22",false,true,true,false,"6290","2024-12-18","UngdomKorttid"
"Stockholm","Vällingby",17.871210258,59.364556062,"2","36",true,true,false,false,"16733","2024-12-18","Hyresrätt"
"Stockholm","Vällingby",17.874965709,59.363832067,"1","24",false,true,false,false,"12777","2024-12-18","Hyresrätt"
"Stockholm","Norra Djurgården",18.059442043,59.35520237,"2","36",true,true,false,false,"7375","2024-12-18","Studentlägenhet"
"Stockholm","Midsommarkransen",18.003166,59.29745,"2","71",true,true,false,false,"8329","2024-12-18","Korttidskontrakt"
"Stockholm","Midsommarkransen",18.003166,59.29745,,"71",true,true,false,false,"10685","2024-12-18","Korttidskontrakt"
"Stockholm","Midsommarkransen",18.003166,59.29745,"1","26",false,true,false,false,"10685","2024-12-18","Korttidskontrakt"
"Stockholm","Kista",17.944263592,59.403956937,"3","71",true,true,false,false,"5432","2024-12-18","Studentlägenhet"
"Stockholm","Kista",17.944263592,59.403956937,"2","57",true,false,false,false,"5804","2024-12-18","Studentlägenhet"
"Stockholm","Midsommarkransen",18.003166,59.29745,"1","43",false,true,false,false,"9989","2024-12-18","Korttidskontrakt"
"Stockholm","Midsommarkransen",18.003845,59.297646,"2","42",false,true,false,false,"10235","2024-12-18","Korttidskontrakt"
"Södertälje","Södertälje Centrum",17.622435093,59.202009407,"3","69",true,true,false,false,"9428","2024-12-19","Hyresrätt"
"Södertälje","Södertälje Centrum",17.622517264,59.201027476,"1","26",false,true,false,false,"7061","2024-12-19","Hyresrätt"
"Stockholm","Vårberg",17.883467674,59.272284198,"2","66",false,false,false,false,"17781","2024-12-19","Hyresrätt"
"Södertälje","Södertälje Centrum",17.622517264,59.201027476,"2","62",true,true,false,false,"7255","2024-12-19","Hyresrätt"
"Västerås","Råby",16.498259067,59.606583466,"3","79",true,false,false,false,"10839","2024-12-19","Hyresrätt"
"Södertälje","Södertälje Centrum",17.621716261,59.201707274,"3","57",true,false,false,false,"9265","2024-12-19","Hyresrätt"
"Södertälje","Södertälje Centrum",17.622517264,59.201027476,"3","80",true,true,false,false,"7061","2024-12-19","Hyresrätt"
"Södertälje","Blombacka",17.601108032,59.189338092,"3","79",true,false,true,false,"5982","2024-12-19","Ungdomslägenhet"
"Haninge","Brandbergen",18.171578956,59.171037392,"3","77",true,true,false,false,"16077","2024-12-19","Hyresrätt"
"Södertälje","Södertälje Centrum",17.622435093,59.202009407,"4","100",true,true,false,false,"9724","2024-12-19","Hyresrätt"
"Sollentuna","Rotsunda",17.918027618,59.480950929,"2","66",true,true,false,false,"6314","2024-12-19","Korttidskontrakt"
"Huddinge","Flemingsberg",17.938492374,59.211637538,"1","21",false,true,false,false,"4403","2024-12-19","Studentkorridor"
"Haninge","Handen",18.13402762,59.158245304,"1","28",true,true,true,false,"5726","2024-12-19","UngdomKorttid"
"Sollentuna","Rotsunda",17.916950593,59.482925812,"2","59",false,true,false,false,"6317","2024-12-19","Korttidskontrakt"
"Solna","Ulriksdal",17.999785428,59.379607562,"3","76",true,false,true,false,"6253","2024-12-19","UngdomKorttid"
